date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:03	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20May%202019%2010:02:03%20GMT	http://t.commonsupport.com/robots.txt		(from )
13:02:04	41201/41201	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/index.html	(from )
13:02:07	19794/19794	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Apr%202019%2021:24:24%20GMT	http://t.commonsupport.com/businest/css/responsive.css	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/css/responsive.css	(from http://t.commonsupport.com/businest/)
13:02:09	136430/136430	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Apr%202019%2022:43:16%20GMT	http://t.commonsupport.com/businest/css/style.css	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/css/style.css	(from http://t.commonsupport.com/businest/)
13:02:11	140936/140936	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Aug%202018%2015:21:46%20GMT	http://t.commonsupport.com/businest/css/bootstrap.css	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/css/bootstrap.css	(from http://t.commonsupport.com/businest/)
13:02:11	1182/1182	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Mar%202019%2021:40:16%20GMT	http://t.commonsupport.com/businest/images/favicon.png	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/images/favicon.png	(from http://t.commonsupport.com/businest/)
13:02:11	41201/41201	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/index.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/index-2.html	(from http://t.commonsupport.com/businest/)
13:02:12	3216/3216	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Apr%202019%2021:19:06%20GMT	http://t.commonsupport.com/businest/images/logo@2x.png	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/images/logo@2x.png	(from http://t.commonsupport.com/businest/)
13:02:12	42157/42157	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/index-2.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/index-3.html	(from http://t.commonsupport.com/businest/)
13:02:13	25979/25979	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/about.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/about.html	(from http://t.commonsupport.com/businest/)
13:02:13	16212/16212	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/partners.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/partners.html	(from http://t.commonsupport.com/businest/)
13:02:14	21007/21007	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/team.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/team.html	(from http://t.commonsupport.com/businest/)
13:02:14	20698/20698	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/testimonial.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/testimonial.html	(from http://t.commonsupport.com/businest/)
13:02:15	14710/14710	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/price.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/price.html	(from http://t.commonsupport.com/businest/)
13:02:15	10474/10474	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2021:30:02%20GMT	http://t.commonsupport.com/businest/comming-soon.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/comming-soon.html	(from http://t.commonsupport.com/businest/)
13:02:16	22587/22587	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/services-1.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/services-1.html	(from http://t.commonsupport.com/businest/)
13:02:17	20086/20086	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/finance-planing.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/finance-planing.html	(from http://t.commonsupport.com/businest/)
13:02:18	20089/20089	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/investment-plan.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/investment-plan.html	(from http://t.commonsupport.com/businest/)
13:02:18	20085/20085	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/growth-tracking.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/growth-tracking.html	(from http://t.commonsupport.com/businest/)
13:02:19	20089/20089	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/training-workshop.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/training-workshop.html	(from http://t.commonsupport.com/businest/)
13:02:19	20089/20089	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/business-analysis.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/business-analysis.html	(from http://t.commonsupport.com/businest/)
13:02:20	20091/20091	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/personal-insurance.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/personal-insurance.html	(from http://t.commonsupport.com/businest/)
13:02:21	23339/23339	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/company.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/company.html	(from http://t.commonsupport.com/businest/)
13:02:21	19091/19091	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/company-history.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/company-history.html	(from http://t.commonsupport.com/businest/)
13:02:22	28293/28293	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/gallery-3-column.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/gallery-3-column.html	(from http://t.commonsupport.com/businest/)
13:02:23	33215/33215	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/gallery-4-column.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/gallery-4-column.html	(from http://t.commonsupport.com/businest/)
13:02:24	33218/33218	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2022:37:12%20GMT	http://t.commonsupport.com/businest/gallery-masonry-one.html	C:/My%20Web%20Sites/http___t.commonsupport.com_businest_/t.commonsupport.com/businest/gallery-masonry-one.html	(from http://t.commonsupport.com/businest/)
